Review_Text,Sentiment,Emotion
"The sound quality is absolutely amazing, crystal clear bass!",Positive,Joy
The battery dies after only 2 hours of usage. Terrible quality.,Negative,Anger
"It's an okay product for the price, nothing special but works fine.",Neutral,Sadness
The delivery took 2 weeks and the box was damaged when it arrived.,Negative,Anger
"Incredibly comfortable to wear during my morning runs, love it.",Positive,Joy
"The app connection keeps dropping, very frustrating experience.",Negative,Anger
"Design is beautiful and sleek, but the touch controls are a bit unresponsive.",Neutral,Sadness
"Best noise-canceling headphones I have ever owned, worth every penny!",Positive,Joy
The charging cable stopped working after just three days. Disappointed.,Negative,Sadness
Fast shipping and the packaging was extremely secure. Great seller.,Positive,Joy
"The microphone quality is clear enough for Zoom calls, standard quality.",Neutral,Joy
"It fits well in my ears, but the sound feels a bit muddy.",Neutral,Sadness
The customer service was useless when I asked for a replacement.,Negative,Anger
Super lightweight and the battery lasts for days! Highly recommended.,Positive,Joy
"The color looks different from the product pictures online, turning it back.",Negative,Sadness
"Setup was incredibly easy, took less than two minutes to connect.",Positive,Joy
The volume is too low even at maximum settings. Worst purchase ever.,Negative,Anger
"It works as described, but shipping was slightly delayed.",Neutral,Sadness
"Premium build quality, feels very high-end and sturdy.",Positive,Joy
The left earbud completely stopped playing sound after a week.,Negative,Anger
"Average product, it does the job but don't expect premium performance.",Neutral,Sadness
I am amazed by how fast the wireless charging feature works!,Positive,Joy
The user manual is poorly translated and very confusing to read.,Negative,Anger
"It feels a bit tight on my head, but hopefully it loosens up over time.",Neutral,Sadness
"Outstanding Bluetooth range, I can walk around my whole house easily.",Positive,Joy
"The companion app requires too many unnecessary permissions, annoying.",Negative,Anger
"The product is decent, nothing to complain about but nothing to hype either.",Neutral,Sadness
"Excellent value for money, beats many expensive brands out there!",Positive,Joy
"The material feels cheap and plasticky, not worth the price tag.",Negative,Anger
"Arrived safely, normal functionality, everything is just fine.",Neutral,Joy
